episode,total_reward,success,steps_taken
1072,-200.0,False,200
1073,-200.0,False,200
1074,-200.0,False,200
1075,-200.0,False,200
1076,-200.0,False,200
1077,-200.0,False,200
1078,-200.0,False,200
1079,-200.0,False,200
1080,-200.0,False,200
1081,-200.0,False,200
1082,-200.0,False,200
1083,-200.0,False,200
1084,-200.0,False,200
1085,-200.0,False,200
1086,-200.0,False,200
1087,-200.0,False,200
1088,-200.0,False,200
1089,-200.0,False,200
1090,-200.0,False,200
1091,-200.0,False,200
1092,-200.0,False,200
1093,-200.0,False,200
1094,-200.0,False,200
1095,-200.0,False,200
1096,-200.0,False,200
1097,-200.0,False,200
1098,-200.0,False,200
1099,-200.0,False,200
1100,-200.0,False,200
1101,-200.0,False,200
1102,-200.0,False,200
1103,-200.0,False,200
1104,-200.0,False,200
1105,-200.0,False,200
1106,-200.0,False,200
1107,-200.0,False,200
1108,-200.0,False,200
1109,-200.0,False,200
1110,-200.0,False,200
1111,-200.0,False,200
1112,-200.0,False,200
1113,-200.0,False,200
1114,-200.0,False,200
1115,-200.0,False,200
1116,-200.0,False,200
1117,-200.0,False,200
1118,-200.0,False,200
1119,-200.0,False,200
1120,-200.0,False,200
1121,-200.0,False,200
1122,-200.0,False,200
1123,-200.0,False,200
1124,-200.0,False,200
1125,-200.0,False,200
1126,-200.0,False,200
1127,-200.0,False,200
1128,-200.0,False,200
1129,-200.0,False,200
1130,-200.0,False,200
1131,-200.0,False,200
1132,-200.0,False,200
1133,-200.0,False,200
1134,-200.0,False,200
1135,-200.0,False,200
1136,-200.0,False,200
1137,-200.0,False,200
1138,-200.0,False,200
1139,-200.0,False,200
1140,-200.0,False,200
1141,-200.0,False,200
1142,-200.0,False,200
1143,-200.0,False,200
1144,-200.0,False,200
1145,-200.0,False,200
1146,-200.0,False,200
1147,-200.0,False,200
1148,-200.0,False,200
1149,-200.0,False,200
1150,-200.0,False,200
1151,-200.0,False,200
1152,-200.0,False,200
1153,-200.0,False,200
1154,-200.0,False,200
1155,-200.0,False,200
1156,-200.0,False,200
1157,-200.0,False,200
1158,-200.0,False,200
1159,-200.0,False,200
1160,-200.0,False,200
1161,-200.0,False,200
1162,-200.0,False,200
1163,-200.0,False,200
1164,-200.0,False,200
1165,-200.0,False,200
1166,-200.0,False,200
1167,-200.0,False,200
1168,-200.0,False,200
1169,-200.0,False,200
1170,-200.0,False,200
1171,-200.0,False,200
1172,-200.0,False,200
1173,-200.0,False,200
1174,-200.0,False,200
1175,-200.0,False,200
1176,-200.0,False,200
1177,-200.0,False,200
1178,-200.0,False,200
1179,-200.0,False,200
